"","word","decfinch1810","decfinch1820","decfinch1830","decfinch1840","decfinch1850","decfinch1860","decfinch1870","decfinch1880","decfinch1890","decfinch1900","decfinch1910","decfinch1920","decfinch1930","decfinch1940","decfinch1950","decfinch1960","decfinch1970","decfinch1980","decfinch1990","decconseq1810","decconseq1820","decconseq1830","decconseq1840","decconseq1850","decconseq1860","decconseq1870","decconseq1880","decconseq1890","decconseq1900","decconseq1910","decconseq1920","decconseq1930","decconseq1940","decconseq1950","decconseq1960","decconseq1970","decconseq1980","decconseq1990","decpoly1800","decpoly1810","decpoly1820","decpoly1830","decpoly1840","decpoly1850","decpoly1860","decpoly1870","decpoly1880","decpoly1890","decpoly1900","decpoly1910","decpoly1920","decpoly1930","decpoly1940","decpoly1950","decpoly1960","decpoly1970","decpoly1980","decpoly1990","freq"
"1","0",0.797211316012878,0.811621690277163,0.800013760961317,0.762388931873162,0.745296976176048,0.791753882582518,0.705302427854358,0.646685207957961,0.630249545513229,0.593851563161177,0.518336756878712,0.517440651721828,0.488237352949421,0.44253252383704,0.391986823548073,0.366212979848794,0.29246740082985,0.257244088852245,0,0.204705507467261,0.224489837962296,0.206260170537892,0.250460709500648,0.309365597542214,0.278652586177237,0.286884756564462,0.301249564508054,0.394672987078899,0.282104245691268,0.342506979186522,0.235770575243951,0.218145693805285,0.28507355406074,0.226595055633789,0.239615792015202,0.228002861684738,0.204429177952799,0.257244088852245,0.178415895360436,0.132973038437535,0.162452881703295,0.157466960134784,0.100982117365595,0.0894588527458399,0.0671143451274353,0.0607421587621736,0.0662550608089365,0.0805989510183512,0.0699700493393057,0.0720892343624172,0.0611213276577173,0.0778053941883358,0.0756528214751229,0.0695515949867154,0.0607311749116542,0.0559248106869399,0.0423934225722383,0.0321443355449293,0.000120527074332436
"2","1",1.10120226840381,1.12066658468835,1.095890743873,1.12180405605282,1.13686252677082,1.11857549556568,1.13033850716118,1.08979222946076,1.06119357561133,0.962847869885743,0.913291971416686,0.898101396015808,0.824216603352084,0.705280984071477,0.638275609067561,0.553867305437679,0.315706717466762,0.215720078404387,1.49011611938477e-08,0.275841787327739,0.2105436890549,0.221069588162839,0.228722491466121,0.227378157350458,0.231235682335465,0.20472192011052,0.24815919010957,0.223277616488106,0.256061987619679,0.292466665515423,0.201649708319353,0.205618769454535,0.282050797208998,0.35310043954878,0.218923129390055,0.382173454166233,0.225957887691376,0.215720078404387,0.0625783108760195,0.0403381848202792,0.0228187992564759,0.0206096529544257,0.0155527007022318,0.0136600616948958,0.0123286063482498,0.0112811581248295,0.0107445798321795,0.0104324767886602,0.0100428684235943,0.0100051034951635,0.0118765740707019,0.0117537932635024,0.0132073327840219,0.0136477441980524,0.0145799875401516,0.0173772824345062,0.0193593366594237,0.0169983971643244,0.000552745928774892
"3","10",0.689593370422454,0.700660104048747,0.707171419447254,0.712387332588102,0.71962169299992,0.712067212014648,0.716130586539369,0.691979001926757,0.609925941194381,0.562308641340588,0.515187240095052,0.481028904240423,0.449944542193088,0.405879015092339,0.363279528345468,0.334465158940339,0.276496370090565,0.210080912777951,0,0.202456012534526,0.190102150014394,0.178041941195134,0.201536183302197,0.203766782685043,0.198063152064574,0.187327908609033,0.205426110753458,0.234087280576286,0.212270511378507,0.241792860497582,0.152140027279889,0.137506863882161,0.161694428404574,0.177312561312069,0.163810240248539,0.184104487257839,0.185563135253337,0.210080912777951,0.20670021365668,0.15051232550729,0.123515870639411,0.095485608716284,0.0709734746748297,0.0573400633848209,0.0451494841670684,0.0407476183550928,0.0382302292915382,0.0409572752237687,0.0383323662495768,0.0385356210613496,0.0372346024834632,0.0374204457573839,0.0379176234267662,0.0343372357367766,0.0333787302730855,0.0276058159538847,0.0261117860482538,0.0206816552993565,0.000109166673104575
"4","106",NA,0.288575519472593,0.306387541229075,0.260273018139917,0.255535916519625,0.252331172120578,0.270805132321709,0.236755702222135,0.236170327823327,0.225622176942516,0.222448067525187,0.21692696835785,0.210337633484622,0.21466696437749,0.206658421398073,0.206321220657945,0.192055448526249,0.1524815924118,0,NA,NA,0.112921566243703,0.110638675387873,0.100546884291129,0.0788491807239429,0.106419377618479,0.110569035120468,0.084911563111167,0.0993050579498638,0.0924673793227133,0.0861248581475331,0.0791744782556128,0.0830370635922735,0.105938069606885,0.118596719450605,0.107087753515392,0.142367105571779,0.1524815924118,1.61337759175667,1.52443543617883,1.6958959229629,1.66117907833307,1.38178887904461,1.03833371872818,1.0841673959891,0.871880934042405,0.540870031684695,0.447660656952119,0.396026079255749,0.360865920356079,0.348953687945599,0.322955461712141,0.310328196600572,0.281451985396239,0.263305780287151,0.254185771515249,0.174449825781294,0.112084599805166,9.19236232261825e-06
"5","11",0.522289055291153,0.540262190675069,0.536171526510896,0.563002595097485,0.552002555011112,0.557977260018466,0.563123044804685,0.534067292908013,0.517279641463029,0.489741166716456,0.453104655736562,0.425447821761735,0.388388777198692,0.352506308428333,0.34068882630689,0.315986341554976,0.2502598202827,0.19289634987247,NA,0.188061649896519,0.21607241548057,0.181693456370462,0.226484435905171,0.194929079696294,0.188066437998718,0.183235569041699,0.166455972793874,0.160298865880225,0.148498401508828,0.147878426732109,0.126196345463311,0.108495391012499,0.14256571993203,0.173986258543246,0.142558194777895,0.186240977699878,0.178986493521324,0.19289634987247,0.350423309007386,0.250673123287607,0.192596669530148,0.15353839503285,0.0966745120457539,0.0740649497972221,0.0661505970405559,0.0560802835965674,0.056087244286268,0.0580578642692672,0.0616870141098372,0.0553225239764866,0.055624097213858,0.0563045603441441,0.0583865444520618,0.0485924426483806,0.0491460438101768,0.0432050628053927,0.0397454887339921,0.0334222229205192,3.79905985341542e-05
"6","12",0.552862656448544,0.544607006316858,0.530396706197807,0.574521882645216,0.565005612193544,0.569371769832214,0.586881741202929,0.573634810789382,0.549223730244825,0.500567195127879,0.466882775884591,0.434047166605054,0.393868668461542,0.346218982931936,0.327288809075057,0.312825354443166,0.243852116922766,0.172619222681177,0,0.19826572111801,0.177337568655069,0.179561826094693,0.207251054070604,0.194943194345395,0.204700420634014,0.184884463175971,0.203844475508233,0.201646040089841,0.191209144156505,0.218942202324923,0.155873165245323,0.148281406382518,0.158552705442646,0.167826878659669,0.153516460638116,0.183748668200151,0.177238951138509,0.172619222681177,0.220168188887556,0.168294976759622,0.144489488306831,0.112079952972315,0.0813587832815677,0.0720140737867861,0.0609212469612328,0.0509462698014804,0.0501413641334004,0.0516034891910986,0.0514184468977684,0.0464097445929618,0.0451100942208541,0.0463229210187246,0.0489906928563927,0.042626154831388,0.0405372667241755,0.0354545534590285,0.0329458225937813,0.0266573466031427,5.71741493823745e-05
"7","15",0.514037483132357,0.52896315963178,0.522844497300474,0.530031998312099,0.520999067606443,0.529713128724589,0.537975251085761,0.53400597628179,0.511074361623061,0.473296690852087,0.446000772924514,0.404201128464543,0.369678258192642,0.336981922577197,0.318724089787424,0.2921062129371,0.233119575866943,0.17935519194861,0,0.206657593235932,0.173075760669524,0.146503449253922,0.169666441599275,0.177080490516477,0.173537978158374,0.164764227004952,0.19229594200428,0.164544171433834,0.173964696746598,0.203895672028129,0.143103804901957,0.1463354818623,0.145837665110359,0.153417449737804,0.164002931120782,0.184128627863039,0.167379813230112,0.17935519194861,0.26970887539105,0.207898472625956,0.162857522193818,0.139121271794571,0.104944088578371,0.0847315556910393,0.0709643961407497,0.0603777293391587,0.0646227572355461,0.0626588898668462,0.068531315265565,0.0642789167975876,0.0690574560995518,0.0650560531777244,0.0685924967526737,0.0572078474729494,0.0554385616391418,0.0455825193964026,0.0401396275289794,0.0327147260423156,5.61580191268968e-05
"8","17",0.499782362359656,0.489556511247373,0.504119851927022,0.478986820766828,0.481022861017833,0.491257232857007,0.488709400349957,0.495273427548844,0.489107707529781,0.460571154959549,0.445667192681701,0.40496424742125,0.373968918720919,0.358302890151549,0.324104970234165,0.301290897738148,0.239060774660315,0.170174158176674,2.98023223876953e-08,0.20819706931441,0.195620983839981,0.186940439822361,0.211024351606944,0.175309548452589,0.214348755781448,0.173262232320456,0.139160519269833,0.151812560935563,0.155550019527608,0.145913359332758,0.124617612346881,0.111094548385044,0.144397008873733,0.162512878603277,0.162156272589973,0.188898126433653,0.177039535729452,0.170174158176674,0.26269931648453,0.247424020166853,0.218321011684031,0.166816942497281,0.127849348380042,0.104172012036833,0.0860461452418296,0.0787822939076266,0.0784349291271275,0.0801919257175954,0.0797694331486905,0.0728439718078044,0.0770952811284763,0.0682059286628017,0.063201158596102,0.050012711574264,0.0484608139982519,0.0431414998338913,0.0380774470425165,0.0326449561091093,3.36261428104658e-05
"9","17th",0.889782691429635,0.879116958110324,0.917961490483891,0.90423678649031,0.909543235894618,0.89996953371491,0.89138161264782,0.849247082754425,0.815410889144422,0.766930434261637,0.742004989789856,0.670602050850204,0.652675539258131,0.572816384786575,0.586391055899132,0.540060452922549,0.472772000987183,0.25823662837958,1.49011611938477e-08,0.141585519411672,0.112792247065568,0.121131534619212,0.1247246502389,0.141953884900454,0.128834584749803,0.134930695940448,0.145512198456868,0.169040872942137,0.135334216147993,0.148648721339094,0.201021269203959,0.184444949866585,0.209504715165377,0.268582329474579,0.242569027881846,0.281000911270465,0.407556989394749,0.25823662837958,0.352910961594939,0.296362891167201,0.25134186106397,0.215948032734896,0.244965654428241,0.221267498577742,0.193803990703847,0.224486314422188,0.210181407857269,0.199974977154259,0.21126058005701,0.25256761523146,0.249523891347639,0.255346628099349,0.24089743716356,0.233360599551703,0.190203200876889,0.173063699233517,0.153737982137383,0.129413017915056,7.56444920914704e-06
"10","1st",1.01880422910154,1.02390561558735,1.03505718541307,0.992115740536025,0.993324841208801,0.953221828211781,0.980153916498374,0.962240332660992,0.931712465264219,0.840177443139731,0.747788721174801,0.686158994668975,0.624594216634067,0.568782316910373,0.513815400192778,0.538575965232941,0.465352703628273,0.3151821877229,0,0.185315073429964,0.146552243422429,0.132055742281624,0.144059474284457,0.148325587040965,0.133120404929182,0.15454763426137,0.119479009387264,0.12480764917222,0.19224516999975,0.196238494100482,0.237536724391604,0.232606738003064,0.219393879681348,0.30332040627371,0.291900684514362,0.329339025748113,0.328760660306099,0.3151821877229,0.207085044144437,0.230050680621531,0.233556546310165,0.212431207348867,0.204669106697557,0.174993498767663,0.149822587618282,0.16494513814019,0.142688641917801,0.142484218636946,0.127956675336895,0.115575418701193,0.0959335838479506,0.0797103845410316,0.081164976778729,0.0752052197075581,0.0676821675578954,0.0638776409977567,0.0592778157017648,0.0544091176914029,1.74852891066871e-05
